,City,Cloudiness %,Coutry,Date,Humidity %,Latitude,Long,Temperature (F),Wind Speed (mph)
405,Dali,96,CN,1567106020.0,94,25.6,100.24,60.35,3.53
406,Sao Jose da Coroa Grande,56,BR,1567105695.0,70,-8.9,-35.15,77.09,9.82
408,Khatanga,0,RU,1567105596.0,82,71.98,102.47,50.27,10.42
409,West Wendover,1,US,1567105948.0,30,40.74,-114.07,82.4,6.93
411,Mount Pleasant,20,US,1567106023.0,58,32.79,-79.86,91.0,6.93
412,Boldumsaz,0,TM,1567106024.0,45,42.13,59.67,66.2,9.17
414,Haines Junction,0,CA,1567105500.0,45,60.75,-137.51,52.97,0.65
416,Vila Velha,20,BR,1567105607.0,48,-3.71,-38.6,86.0,14.99
417,Clermont,40,US,1567106025.0,69,43.0,-91.65,82.99,19.46
418,Bonavista,82,CA,1567106026.0,85,48.65,-53.11,54.0,4.0
419,Balagunan,90,PH,1567106026.0,88,7.49,125.52,78.8,1.36
420,Ballina,90,IE,1567106027.0,93,54.11,-9.15,61.0,13.87
422,Husavik,90,IS,1567106028.0,81,66.04,-17.34,46.4,12.75
423,Cabacao,100,PH,1567106028.0,79,13.34,120.66,78.53,9.48
424,Aden,4,YE,1567106028.0,50,12.79,45.03,89.87,13.06
425,Karakol,62,KG,1567106029.0,57,42.49,78.39,64.85,3.06
426,San Pedro,20,BO,1567106029.0,11,-17.27,-66.8,82.4,9.17
427,Campbell,40,US,1567106029.0,60,37.29,-121.95,79.0,3.36
428,Cherskiy,100,RU,1567105633.0,96,68.75,161.3,35.33,10.71
429,Auki,92,SB,1567106030.0,76,-8.77,160.7,81.95,8.16
430,Nisia Floresta,0,BR,1567106031.0,45,-6.09,-35.21,84.2,19.46
431,Cross Lanes,40,US,1567106031.0,55,35.39,-94.21,91.99,5.57
432,Marsa Matruh,40,EG,1567106031.0,69,31.35,27.25,82.4,11.41
433,Hailun,100,CN,1567106032.0,96,47.46,126.97,57.65,8.03
434,Beringovskiy,100,RU,1567105768.0,97,63.05,179.32,47.03,8.52
435,Murovani Kurylivtsi,0,UA,1567106032.0,55,48.71,27.54,72.0,7.23
436,Tandalti,29,SD,1567106033.0,43,13.01,31.87,90.59,8.66
437,Egvekinot,100,RU,1567105520.0,95,66.32,-179.17,44.87,2.68
438,Mizdah,62,LY,1567106034.0,22,31.45,12.98,90.23,11.12
439,Bonthe,99,SL,1567105512.0,85,7.53,-12.5,77.09,10.4
440,Horki,0,BY,1567106034.0,81,54.29,30.98,58.73,9.22
441,Sao Filipe,69,CV,1567105688.0,81,14.9,-24.5,78.71,12.03
442,Inuvik,90,CA,1567106035.0,86,68.36,-133.71,42.8,5.82
443,Le Creusot,0,FR,1567106035.0,50,46.81,4.43,77.0,6.93
444,Belozerskoye,100,RU,1567106036.0,90,55.82,65.58,50.99,16.11
445,Riyadh,0,SA,1567105786.0,18,24.63,46.72,96.8,3.36
446,Sembabule,94,UG,1567106037.0,48,-0.08,31.46,76.73,3.15
447,Saraland,1,US,1567106037.0,43,30.82,-88.07,93.99,5.82
448,Tamandare,17,BR,1567105762.0,43,-8.28,-70.75,90.77,1.88
449,Show Low,1,US,1567106038.0,30,34.25,-110.03,86.0,6.93
450,Pontian Kecil,75,MY,1567106038.0,83,1.48,103.39,82.4,4.7
451,Katobu,59,ID,1567106039.0,83,-4.94,122.53,68.63,3.36
452,Lavrentiya,99,RU,1567105647.0,85,65.58,-170.99,46.67,4.94
453,San Jose,54,GT,1567106039.0,25,16.98,-89.9,100.85,1.95
455,Troitskoye,89,RU,1567106040.0,85,52.98,84.68,65.93,5.86
456,Chalchihuites,0,MX,1567106041.0,32,23.48,-103.88,73.31,5.55
457,Port Lincoln,0,AU,1567105303.0,71,-34.72,135.86,53.51,21.65
458,Luau,86,AO,1567106041.0,35,-10.71,22.22,79.97,3.38
459,Inhambane,20,MZ,1567105442.0,88,-23.87,35.38,66.2,4.7
460,Itarema,0,BR,1567106042.0,46,-2.92,-39.92,89.6,21.92
461,Moratuwa,40,LK,1567106043.0,78,6.77,79.88,82.4,8.05
462,Yar-Sale,100,RU,1567105448.0,94,66.83,70.83,43.43,17.27
463,Canoinhas,0,BR,1567106043.0,38,-26.18,-50.4,76.19,2.01
464,Souillac,75,MU,1567106044.0,69,-20.52,57.52,73.4,10.29
466,Ormara,100,PK,1567106045.0,58,25.21,64.64,85.73,9.55
467,Tromso,20,NO,1567106045.0,82,69.65,18.96,64.4,27.51
468,Filadelfia,0,PY,1567106045.0,20,-22.35,-60.04,101.03,15.32
469,Opole Lubelskie,0,PL,1567106046.0,54,51.15,21.97,80.01,2.24
470,Isangel,90,VU,1567106046.0,83,-19.55,169.27,69.8,2.24
471,Deputatskiy,94,RU,1567105785.0,90,69.3,139.9,24.35,3.31
472,Port Macquarie,73,AU,1567106047.0,100,-31.43,152.91,48.2,3.36
473,Terme,75,TR,1567106048.0,78,41.21,36.97,75.2,8.05
475,Tarakan,16,ID,1567106048.0,82,3.3,117.63,80.15,7.36
477,Diamantino,7,BR,1567106049.0,14,-14.4,-56.44,105.53,2.46
478,Ust-Koksa,77,RU,1567106049.0,52,50.27,85.62,56.03,5.19
479,Flinders,75,AU,1567105619.0,100,-34.58,150.85,55.0,16.11
480,Grand Gaube,75,MU,1567105484.0,69,-20.01,57.66,73.4,10.29
481,Cap Malheureux,75,MU,1567105671.0,69,-19.98,57.61,73.4,10.29
482,Shumskiy,0,RU,1567106051.0,94,54.83,99.13,51.71,2.91
483,Gornopravdinsk,86,RU,1567106051.0,76,60.06,69.92,50.81,8.84
484,Sungairaya,0,ID,1567106051.0,80,0.7,108.9,81.23,19.8
485,Korla,0,CN,1567106052.0,56,41.76,86.15,82.0,5.99
486,Lafiagi,77,NG,1567106052.0,87,8.85,5.42,77.99,3.15
488,Westport,27,NZ,1567106053.0,88,-41.75,171.6,39.11,3.65
489,Nador,75,MA,1567105521.0,83,35.17,-2.93,77.0,3.36
490,Amapa,5,BR,1567105486.0,28,-1.83,-56.23,99.59,6.93
491,Puerto Escondido,90,MX,1567106054.0,55,15.86,-97.07,89.6,6.93
492,Olinda,20,BR,1567106055.0,57,-22.82,-43.41,84.2,6.93
493,Talaya,0,RU,1567106055.0,93,55.79,84.89,51.8,6.71
494,Roura,20,GF,1567106055.0,66,4.73,-52.33,87.8,14.99
495,Mizur,57,RU,1567106056.0,81,42.85,44.06,49.55,2.21
496,Bezhetsk,0,RU,1567106056.0,89,57.78,36.69,58.19,4.79
497,Saint-Remi,90,CA,1567106057.0,57,45.27,-73.62,77.0,3.36
498,Aklavik,90,CA,1567105668.0,75,68.22,-135.01,42.8,4.7
499,Annau,0,TM,1567106057.0,34,37.89,58.52,78.8,4.7
500,Ketchikan,1,US,1567106058.0,77,55.34,-131.65,59.0,16.11
501,Vila Franca do Campo,40,PT,1567105664.0,88,37.72,-25.43,73.4,12.75
502,Bati,15,ET,1567106059.0,55,11.19,40.02,71.87,4.16
504,Russellville,1,US,1567106059.0,51,35.28,-93.13,88.0,4.7
505,Kathu,75,TH,1567106060.0,83,7.91,98.33,80.6,14.99
507,Ishinomaki,91,JP,1567106061.0,90,38.42,141.3,69.53,3.49
508,Gurgaon,75,IN,1567106061.0,74,28.47,77.03,93.99,5.82
509,Saint-Francois,40,GP,1567105519.0,66,16.25,-61.27,87.8,12.75
510,Abramovka,7,RU,1567106062.0,66,51.19,41.01,57.29,5.46
511,Trelew,25,AR,1567105782.0,30,-43.25,-65.31,55.31,27.54
512,Leua,67,AO,1567106062.0,41,-11.65,20.45,71.69,2.24
513,Mutoko,52,ZW,1567106063.0,44,-17.4,32.23,67.73,6.71
514,Aasiaat,0,GL,1567105654.0,55,68.71,-52.87,40.01,15.32
515,Media Luna,48,CU,1567106064.0,58,20.14,-77.44,88.43,5.19
516,Bainbridge,1,US,1567106065.0,52,30.9,-84.58,95.0,8.05
517,Iskateley,6,RU,1567105767.0,88,67.68,53.15,37.85,4.09
519,Padang,100,ID,1567105505.0,83,-0.92,100.36,81.41,14.58
520,Pilar,90,PH,1567106075.0,94,14.67,120.55,78.8,13.87
521,Suba,20,PH,1567106076.0,88,9.55,123.31,77.0,4.7
522,Rocha,83,UY,1567105616.0,85,-34.48,-54.34,68.09,7.34
523,Dakar,75,SN,1567105546.0,94,14.69,-17.45,84.2,6.93
524,Grindavik,75,IS,1567105548.0,76,63.84,-22.43,51.8,21.92
525,Exeter,1,US,1567106078.0,34,36.3,-119.14,91.0,3.36
526,Tomari,25,RU,1567106078.0,89,47.76,142.06,59.63,16.84
527,Samur,17,RU,1567106078.0,86,41.83,48.49,52.61,1.25
528,Lavumisa,62,SZ,1567106079.0,76,-27.31,31.89,66.29,3.69
529,Serebryansk,90,KZ,1567106079.0,52,49.68,83.3,65.75,5.03
530,Baykit,75,RU,1567105551.0,91,61.68,96.39,40.19,2.42
531,Lostice,0,CZ,1567106080.0,57,49.74,16.93,80.6,9.17
532,Qasigiannguit,5,GL,1567106083.0,39,68.82,-51.19,44.6,6.93
533,Conakry,98,GN,1567106012.0,87,9.52,-13.7,77.63,19.84
534,Nemuro,100,JP,1567105708.0,91,43.32,145.57,60.17,11.18
535,Harper,60,LR,1567106084.0,82,4.38,-7.71,77.63,9.78
536,Piacabucu,3,BR,1567106084.0,69,-10.41,-36.43,77.81,9.51
538,Halifax,90,CA,1567105865.0,94,44.65,-63.58,73.99,14.99
539,Labytnangi,100,RU,1567106085.0,94,66.66,66.39,37.13,9.64
540,San Carlos de Bariloche,40,AR,1567106086.0,92,-41.13,-71.31,46.4,34.45
541,Kilindoni,7,TZ,1567105753.0,79,-7.91,39.67,77.99,14.38
542,Penzance,20,GB,1567106086.0,77,50.12,-5.53,62.6,12.75
544,Newport,20,US,1567106087.0,45,41.49,-71.31,86.0,12.75
545,Kadaya,65,RU,1567106087.0,74,50.93,119.29,51.89,3.51
546,Batticaloa,78,LK,1567106088.0,78,7.71,81.69,78.17,3.04
547,Omboue,4,GA,1567106088.0,87,-1.57,9.26,75.47,12.82
550,Mareeba,7,AU,1567106019.0,82,-16.99,145.42,66.2,10.29
551,Muncar,55,ID,1567106089.0,96,-8.43,114.34,68.81,1.61
553,Shimoda,40,JP,1567105765.0,94,34.7,138.93,78.8,3.36
554,Bor,0,TR,1567106090.0,47,37.89,34.56,68.45,8.32
555,Cabedelo,0,BR,1567106091.0,57,-6.97,-34.84,80.6,16.11
556,Beroroha,0,MG,1567106092.0,34,-21.68,45.17,68.63,2.71
557,Sheltozero,5,RU,1567106095.0,81,61.37,35.37,61.79,7.67
559,Karasburg,0,NA,1567105706.0,30,-28.01,18.75,54.23,13.15
560,Kahului,20,US,1567105711.0,62,20.89,-156.47,86.0,10.29
562,Lubao,63,CD,1567106100.0,31,-5.39,25.75,88.43,1.28
563,Caraquet,90,CA,1567105811.0,93,47.79,-64.94,66.0,2.24
564,Novaya Igirma,7,RU,1567106110.0,93,57.14,103.93,49.55,1.5
565,Liepaja,66,LV,1567106111.0,88,56.52,21.02,69.8,5.82
567,Verkhnevilyuysk,26,RU,1567106112.0,89,63.45,120.31,48.29,1.52
568,Danilov,0,RU,1567106112.0,87,58.19,40.17,57.2,6.71
569,Nadym,100,RU,1567106112.0,90,65.53,72.51,43.97,16.71
570,Gao,70,ML,1567106113.0,43,16.28,-0.04,90.95,5.37
571,Broken Hill,0,AU,1567106113.0,78,-31.97,141.45,42.8,11.41
572,Port-de-Bouc,0,FR,1567106114.0,58,43.4,4.98,86.0,8.05
573,Wewak,66,PG,1567106115.0,89,-3.55,143.63,74.93,4.99
574,Naze,75,JP,1567105592.0,100,28.37,129.48,80.6,5.82
575,Windsor,90,CA,1567105941.0,94,44.99,-64.14,75.2,14.99
576,Bathsheba,40,BB,1567106119.0,70,13.22,-59.52,86.0,13.87
577,Carballo,20,ES,1567106119.0,78,43.21,-8.69,73.99,5.82
578,San Blas,5,MX,1567106120.0,54,21.54,-105.29,84.2,5.82
579,Kenai,90,US,1567105891.0,93,60.55,-151.26,55.0,5.82
580,Roebourne,0,AU,1567106121.0,78,-20.77,117.15,64.31,8.23
581,Garowe,2,SO,1567105550.0,36,8.41,48.48,84.47,14.14
582,Merritt Island,75,US,1567106122.0,59,28.54,-80.67,93.0,17.22
583,Sao Joao da Barra,20,BR,1567105503.0,60,-21.64,-41.05,75.2,13.87
584,Lodja,92,CD,1567106122.0,52,-3.52,23.6,80.33,2.59
585,Oranjestad,20,AW,1567105838.0,56,12.52,-70.03,93.2,17.22
586,Vacha,24,RU,1567106123.0,95,55.8,42.77,56.21,4.88
587,Lao Cai,70,VN,1567106127.0,88,22.48,103.95,67.19,5.03
590,Port Hedland,0,AU,1567106131.0,88,-20.31,118.58,64.4,10.29
591,Mut,21,TR,1567106131.0,48,36.64,33.44,69.35,3.27
592,Pinhao,23,BR,1567106132.0,42,-25.7,-51.66,78.53,3.51
593,Garango,80,BF,1567106132.0,81,11.8,-0.55,77.81,4.63
594,Quelimane,20,MZ,1567106133.0,83,-17.88,36.89,75.2,11.41
595,Goshen,40,US,1567106018.0,45,41.58,-85.83,82.99,11.41
597,Sao Paulo de Olivenca,35,BR,1567106135.0,36,-3.38,-68.87,97.43,1.97
598,Nueve de Julio,0,AR,1567106079.0,27,-31.67,-68.39,72.05,13.78
599,Kuala Terengganu,75,MY,1567105729.0,100,5.33,103.14,75.2,7.78
600,Thunder Bay,75,CA,1567106010.0,68,48.41,-89.26,64.4,12.75
601,Zhangye,100,CN,1567106136.0,30,38.94,100.46,68.45,4.21
602,Hondo,83,JP,1567106137.0,94,32.45,130.2,77.0,11.01
604,Katsuura,75,JP,1567105666.0,100,33.93,134.5,75.2,4.7
606,Tres Arroyos,33,AR,1567106138.0,35,-38.38,-60.28,59.27,13.62
607,Omaruru,12,NA,1567106138.0,31,-21.42,15.95,60.53,8.03
608,Verkh-Usugli,0,RU,1567106139.0,90,52.7,115.17,49.37,2.13
609,San Policarpo,100,PH,1567106139.0,86,12.18,125.51,77.99,5.79
610,Tiarei,20,PF,1567106140.0,65,-17.53,-149.33,82.4,8.05
612,Mirpur Sakro,75,PK,1567106140.0,88,24.55,67.63,82.4,5.82
613,Kupang,27,ID,1567106141.0,77,-10.16,123.6,73.13,12.28
614,Srednekolymsk,94,RU,1567106141.0,95,67.46,153.71,34.07,5.93
615,Antofagasta,20,CL,1567106142.0,67,-23.65,-70.4,60.8,14.99
616,Bourail,100,NC,1567106143.0,87,-21.57,165.5,62.87,5.66
617,San Felipe,0,MX,1567106143.0,38,31.02,-114.84,92.21,7.18
618,Mercedes,0,AR,1567106144.0,50,-29.18,-58.08,86.27,13.29
619,Quatre Cocos,75,MU,1567105370.0,69,-20.21,57.76,73.4,10.29
620,Zamora,20,ES,1567106144.0,32,41.51,-5.74,84.99,4.7
621,Pudozh,9,RU,1567106145.0,93,61.81,36.54,60.35,1.7
622,Great Bend,1,US,1567106146.0,49,38.36,-98.78,93.99,17.22
623,Ayr,2,AU,1567106146.0,87,-19.58,147.4,60.01,1.07
624,Altayskoye,86,RU,1567106146.0,68,51.95,85.34,67.91,5.68
625,Kargasok,73,RU,1567105720.0,82,59.06,80.87,45.95,5.66
627,Montepuez,20,MZ,1567105593.0,50,-13.13,39.0,74.57,9.26
628,Kon Tum,100,VN,1567106148.0,100,14.36,108.0,68.27,1.68
629,Sabha,0,LY,1567106148.0,15,27.03,14.43,89.69,6.85
630,Chatham,1,US,1567106149.0,69,39.68,-89.7,82.99,11.41
631,Daru,36,PG,1567106149.0,94,-9.07,143.21,72.41,5.7
632,Moerai,76,PF,1567106150.0,83,-22.43,-151.33,75.83,20.24
634,Shahrud,47,IR,1567106150.0,73,36.42,54.97,50.81,7.16
635,Yenagoa,99,NG,1567106151.0,88,4.92,6.26,77.27,4.54
636,Putnok,0,HU,1567106151.0,57,48.29,20.43,72.41,4.99
637,Bandarbeyla,61,SO,1567106152.0,73,9.49,50.81,75.65,22.08
638,Mulki,40,IN,1567106152.0,88,13.1,74.8,77.0,15.23
639,Riviere-au-Renard,90,CA,1567106153.0,93,49.0,-64.4,62.6,11.41
640,Biltine,71,TD,1567105668.0,57,14.53,20.93,81.41,19.95
641,Roald,20,NO,1567106154.0,82,62.58,6.12,57.2,3.36
642,Berlevag,0,NO,1567105983.0,64,70.86,29.09,69.8,25.28
643,Ostrovnoy,0,RU,1567105778.0,88,68.05,39.51,54.23,9.62
644,Pareora,17,NZ,1567106158.0,97,-44.49,171.21,36.0,5.35
645,Dubbo,14,AU,1567105805.0,86,-32.25,148.6,39.2,8.05
646,Shirokiy,72,RU,1567106159.0,46,53.87,39.17,57.99,1.01
647,Bartica,75,GY,1567106159.0,74,6.41,-58.62,84.2,13.87
648,Dandong,0,CN,1567106160.0,94,40.12,124.37,58.55,5.55
649,Quimper,0,FR,1567106160.0,72,48.0,-4.1,64.4,9.17
650,Sabang,29,ID,1567105727.0,71,1.17,120.82,78.89,10.92
651,Botucatu,29,BR,1567106161.0,28,-22.89,-48.44,80.87,4.52
652,Richards Bay,47,ZA,1567105719.0,83,-28.77,32.06,70.97,21.18
653,Lethem,1,GY,1567106162.0,46,3.38,-59.8,92.03,7.9
655,Nantucket,40,US,1567106114.0,78,41.28,-70.1,81.0,17.22
656,Burnie,0,AU,1567106163.0,83,-41.05,145.91,37.99,3.11
657,Porbandar,100,IN,1567106163.0,86,21.64,69.61,82.67,19.22
658,Alice Springs,0,AU,1567106164.0,35,-23.7,133.88,39.2,5.82
659,Langres,0,FR,1567106164.0,44,47.87,5.33,80.6,6.93
660,Urucara,35,BR,1567106164.0,32,-2.54,-57.76,96.71,3.6
661,Labuan,75,MY,1567106165.0,94,5.33,115.2,80.6,3.36
662,Gazli,0,UZ,1567106165.0,27,40.13,63.45,70.07,4.94
663,Port Blair,100,IN,1567105663.0,82,11.67,92.75,82.31,21.0
664,Dannenberg,40,DE,1567106166.0,64,53.1,11.1,73.99,2.24
666,Cururupu,11,BR,1567106167.0,55,-1.82,-44.87,87.71,5.08
667,Nalut,51,LY,1567106167.0,30,31.86,10.98,88.97,19.01
668,Harboore,50,DK,1567105582.0,82,56.62,8.18,59.0,5.82
669,Northam,90,AU,1567106168.0,93,-31.65,116.67,59.0,10.29
671,Surdila-Greci,5,RO,1567106168.0,49,45.06,27.26,73.4,6.93
672,Upata,0,VE,1567105833.0,55,8.02,-62.41,93.0,3.0
673,Moscow,90,US,1567106169.0,63,46.73,-117.0,80.01,3.36
674,Kanlagay,76,PH,1567106170.0,93,5.88,121.29,74.93,3.56
675,Anloga,20,GH,1567106083.0,78,5.79,0.9,80.6,12.75
676,Sangar,32,RU,1567105634.0,78,63.92,127.47,46.31,3.29
679,Uglovskoye,77,RU,1567106172.0,43,51.36,80.19,71.51,8.16
680,Maceio,20,BR,1567106014.0,65,-9.67,-35.74,77.0,12.75
681,Tommot,45,RU,1567106173.0,97,58.97,126.27,45.05,1.9
682,Hopkinsville,1,US,1567106105.0,42,36.87,-87.49,84.0,5.82
683,Salinas,75,EC,1567105741.0,66,0.49,-78.13,55.4,4.36
684,Kyra,43,RU,1567105740.0,81,49.58,111.97,47.21,2.8
685,Ozernovskiy,98,RU,1567106174.0,98,51.5,156.52,49.55,8.43
686,Jasper,96,CA,1567105656.0,54,52.88,-118.08,50.45,2.82
687,Mehamn,0,NO,1567105792.0,64,71.03,27.85,69.8,25.28
688,Plettenberg Bay,60,ZA,1567106175.0,74,-34.05,23.37,49.01,4.32
689,Saint-Augustin,75,CA,1567106176.0,56,45.63,-73.98,77.0,8.05
690,Belle Glade,40,US,1567106176.0,63,26.68,-80.67,91.4,8.05
691,Monrovia,75,LR,1567106176.0,88,6.33,-10.8,78.8,9.98
692,Evanston,1,US,1567106177.0,45,42.04,-87.69,87.01,20.8
693,Aripuana,32,BR,1567106177.0,17,-9.17,-60.63,104.09,3.96
694,Ciudad Bolivar,23,VE,1567106178.0,54,8.12,-63.55,91.31,2.71
695,Pangody,100,RU,1567106178.0,95,65.85,74.49,43.25,16.84
696,San Jeronimo,40,MX,1567106178.0,56,29.37,-110.79,96.01,6.93
697,Morant Bay,40,JM,1567106179.0,62,17.88,-76.41,87.8,4.7
698,Vetluzhskiy,90,RU,1567106179.0,97,58.39,45.47,42.17,4.27
699,Koulikoro,20,ML,1567106180.0,78,12.86,-7.56,80.6,5.82
700,Gorin,100,RU,1567106180.0,99,51.2,136.66,57.29,5.35
701,Sanchor,85,IN,1567106181.0,67,24.76,71.77,88.07,6.76
703,Vidor,40,US,1567105955.0,59,30.13,-94.02,93.2,5.82
704,Miri,75,MY,1567106182.0,94,4.41,114.01,75.2,3.36
705,Uryupinsk,0,RU,1567106182.0,79,50.8,42.01,55.99,5.66
706,Mayo,75,CA,1567105708.0,58,63.59,-135.9,53.6,1.39
707,Palu,29,ID,1567106183.0,91,-0.9,119.87,72.41,3.49
708,Raahe,0,FI,1567105725.0,68,64.68,24.47,68.0,8.05
709,Lluta,0,PE,1567106184.0,11,-16.02,-72.01,71.6,10.29
710,Itupiranga,20,BR,1567106184.0,39,-5.13,-49.33,96.8,8.05
711,Marovoay,0,MG,1567106184.0,88,-16.11,46.64,73.4,3.36
712,Santa Rosa,0,AR,1567106185.0,20,-36.62,-64.29,65.03,12.91
713,Progreso,26,MX,1567106185.0,42,20.25,-99.19,70.97,4.74
714,Bilibino,100,RU,1567106186.0,97,68.06,166.44,37.13,2.48
715,Jurm,0,AF,1567106186.0,44,36.86,70.83,52.79,3.27
716,Itabira,0,BR,1567106187.0,35,-19.62,-43.23,71.6,9.17
717,Roma,0,AU,1567106187.0,54,-26.57,148.79,47.21,7.16
718,Qaqortoq,20,GL,1567106188.0,35,60.72,-46.03,57.2,10.29
719,Hailey,75,US,1567106188.0,36,43.52,-114.32,84.0,8.1
720,Mtinko,86,TZ,1567106188.0,39,-4.55,34.84,74.93,8.25
721,Vardo,0,NO,1567105670.0,72,70.37,31.11,64.4,19.46
722,Pashiya,100,RU,1567106189.0,96,58.43,58.26,45.41,9.95
724,Goure,83,NE,1567106190.0,85,13.98,10.27,71.01,1.99
725,Nampula,0,MZ,1567106190.0,78,-15.12,39.26,71.6,6.93
726,Santa Maria Ixhuatan,40,GT,1567106191.0,44,14.19,-90.27,89.6,11.41
727,Sibolga,100,ID,1567106191.0,76,1.74,98.78,81.59,5.97
729,Amlame,91,TG,1567106192.0,88,7.47,0.9,75.47,0.78
730,Carasova,0,RO,1567106192.0,34,45.2,21.87,80.6,4.7
731,Tessalit,39,ML,1567105650.0,36,20.2,1.01,89.87,16.08
732,Buala,99,SB,1567105740.0,79,-8.15,159.59,79.25,4.83
733,Ust-Kuyga,93,RU,1567106193.0,75,70.0,135.55,30.11,3.11
734,Khandyga,56,RU,1567105822.0,85,62.65,135.58,48.47,2.28
735,Suarez,40,CO,1567106194.0,33,4.05,-74.83,91.4,10.29
736,Saldanha,68,ZA,1567105667.0,66,-33.01,17.94,53.6,3.36
737,La Palma,63,PA,1567106194.0,82,8.4,-78.14,80.15,7.47
738,Iqaluit,90,CA,1567105737.0,86,63.75,-68.52,39.2,17.22
740,Jega,93,NG,1567106195.0,59,12.22,4.38,85.91,4.05
741,Serrinha,92,BR,1567106196.0,73,-11.66,-39.0,74.39,13.49
742,Tual,32,ID,1567106196.0,81,-5.67,132.75,76.37,18.79
743,Ako,100,JP,1567106197.0,98,34.79,134.38,73.99,1.3
745,Pittsfield,1,US,1567106198.0,88,39.61,-90.81,82.0,3.36
746,Sechura,65,PE,1567106198.0,94,-5.56,-80.82,59.81,15.1
747,Pervomayskoye,67,RU,1567106198.0,93,57.07,86.23,52.97,6.93
748,Otjimbingwe,1,NA,1567106199.0,32,-22.35,16.13,57.65,6.58
749,Svirstroy,45,RU,1567106199.0,80,60.8,33.72,56.93,0.98
750,Ilebo,40,CD,1567106200.0,55,-4.33,20.59,80.69,1.68
751,Rawson,25,AR,1567106200.0,30,-43.3,-65.11,55.31,27.54
752,Tiznit,62,MA,1567106201.0,80,29.7,-9.73,71.51,4.56
753,Coueron,0,FR,1567106047.0,56,47.22,-1.72,78.01,8.05
754,Palora,40,EC,1567105776.0,40,-1.7,-77.97,89.6,4.7
755,Toowoomba,0,AU,1567106202.0,100,-27.56,151.95,48.0,7.85
756,Kokopo,85,PG,1567106202.0,96,-4.34,152.27,70.07,2.59
757,Moosomin,27,CA,1567106202.0,52,50.14,-101.67,61.61,16.8
758,Qitaihe,96,CN,1567106203.0,98,45.77,131.01,57.47,2.66
759,Muromtsevo,95,RU,1567106203.0,76,56.37,75.24,54.77,12.88
760,Bell Ville,65,AR,1567106204.0,18,-32.63,-62.69,72.0,13.0
761,Mechetinskaya,84,RU,1567106204.0,29,46.77,40.45,63.23,11.72
762,Tabas,13,IR,1567105680.0,13,33.6,56.92,93.2,4.7
763,Whitehorse,20,CA,1567105702.0,57,60.72,-135.06,57.99,2.24
764,Tura,92,RU,1567106205.0,74,64.27,100.22,47.57,5.35
765,Jiangkou,0,CN,1567106205.0,67,30.7,117.56,70.61,1.79
766,Kaputa,0,ZM,1567105734.0,27,-8.47,29.66,71.51,4.36
767,Solnechnyy,100,RU,1567106206.0,99,50.72,136.64,55.31,2.26
768,Vestmanna,75,FO,1567106207.0,100,62.16,-7.17,51.8,17.22
769,Piro,53,IN,1567106207.0,70,25.33,84.41,85.91,5.95
770,Sinnamary,0,GF,1567106207.0,77,5.38,-52.96,81.95,16.37
771,Aksu,24,CN,1567105696.0,30,41.12,80.26,80.33,4.43
772,Kolyvan,0,RU,1567106208.0,77,55.31,82.74,60.8,6.71
773,Chara,33,RU,1567105817.0,88,56.9,118.26,39.29,1.48
774,Kysyl-Syr,22,RU,1567106209.0,69,63.9,122.77,47.39,2.86
775,Konosha,79,RU,1567106209.0,94,60.97,40.26,53.87,5.88
776,Tezu,100,IN,1567106210.0,88,27.93,96.16,75.29,3.06
778,Baker City,1,US,1567106210.0,32,44.77,-117.83,82.4,6.93
780,Ishigaki,3,JP,1567106211.0,83,24.34,124.16,83.03,10.2
781,Iquitos,8,PE,1567105977.0,38,-3.75,-73.25,97.97,0.49
782,Kitale,99,KE,1567106212.0,92,1.02,35.0,58.55,2.15
783,Hastings,1,US,1567106212.0,74,40.59,-98.39,87.01,4.7
784,Sao Gabriel da Cachoeira,40,BR,1567106213.0,66,-0.13,-67.09,87.8,6.93
785,Poum,100,NC,1567105652.0,76,-20.23,164.02,71.69,15.68
786,Thessalon,1,CA,1567106214.0,53,46.26,-83.55,71.6,3.36
787,Verkhoyansk,74,RU,1567105615.0,63,67.55,133.39,34.79,2.46
788,Malasila,90,PH,1567106214.0,88,6.94,125.13,78.8,1.57
789,Shunyi,0,CN,1567106215.0,43,40.13,116.65,77.0,13.42
790,Oxapampa,0,PE,1567106215.0,49,-10.58,-75.4,69.71,6.06
791,Port Keats,46,AU,1567106215.0,21,-14.25,129.55,65.57,16.46
792,Kamenka,30,RU,1567106216.0,53,53.19,44.05,64.0,13.35
794,Kidsgrove,76,GB,1567106035.0,72,53.09,-2.24,64.4,6.93
795,Menongue,73,AO,1567106217.0,26,-14.66,17.68,73.49,1.45
796,Kloulklubed,90,PW,1567105658.0,88,7.04,134.26,78.8,9.17
797,Ocean Springs,1,US,1567106218.0,46,30.41,-88.83,93.99,8.05
798,Novovasylivka,99,UA,1567106219.0,47,48.2,37.04,58.19,9.48
799,Yingkou,0,CN,1567106219.0,89,40.67,122.24,59.81,6.64
800,Nishihara,75,JP,1567105730.0,74,35.74,139.53,84.0,13.87
801,Gunzburg,0,DE,1567106220.0,88,48.45,10.27,70.0,2.24
802,Barrancabermeja,20,CO,1567106221.0,59,7.07,-73.85,91.4,3.36
806,Dudinka,75,RU,1567106222.0,93,69.41,86.18,50.0,8.95
807,Luwuk,55,ID,1567105629.0,97,-0.95,122.79,57.11,3.85
